@Concept: #id, key, label, concept, body_part, frequency
314, 1.851, burn (vb trans), burn (vb trans), 0.0, 294.0
315, 4.25, lip, lip, 1.0, 245.0
316, 4.28, neck, neck, 1.0, 251.0
317, 4.29, throat, throat, 1.0, 283.0
318, 2.458, twins, twins, 0.0, 217.0
319, 1.354, hightide, hightide, 0.0, 114.0
320, 16.34, regret/ be sorry, regret/ be sorry, 0.0, 254.0
321, 2.641, daughter-in-law (of a woman), daughter-in-law (of a woman), 0.0, 207.0
322, 9.49, hammer, hammer, 0.0, 190.0
323, 16.38, tear (noun), tear (noun), 0.0, 220.0
324, 14.331, soon, soon, 0.0, 261.0
325, 9.46, bore, bore, 0.0, 268.0
326, 16.35, pity, pity, 0.0, 250.0
327, 9.44, build, build, 0.0, 259.0
328, 16.33, anxiety/ worry, anxiety/ worry, 0.0, 285.0
329, 16.32, grief/ sorrow/ sadness, grief/ sorrow/ sadness, 0.0, 334.0
330, 16.31, pain, pain, 0.0, 290.0
331, 8.931, pumpkin/ squash, pumpkin/ squash, 0.0, 214.0
332, 4.89, poison, poison, 0.0, 244.0
333, 3.55, chicken, chicken, 0.0, 220.0
334, 17.27, teacher, teacher, 0.0, 249.0
335, 8.51, grass, grass, 0.0, 274.0
336, 1.222, cliff/ precipice, cliff/ precipice, 0.0, 307.0
337, 6.28, fur, fur, 0.0, 207.0
338, 6.29, leather, leather, 0.0, 262.0
339, 6.24, cotton, cotton, 0.0, 219.0
340, 6.25, silk, silk, 0.0, 146.0
341, 6.27, felt, felt, 0.0, 133.0
342, 6.21, cloth, cloth, 0.0, 284.0
343, 6.22, wool, wool, 0.0, 202.0
344, 8.56, leaf, leaf, 0.0, 254.0
345, 5.61, meat, meat, 0.0, 241.0
346, 5.63, sausage, sausage, 0.0, 167.0
347, 5.65, vegetables, vegetables, 0.0, 173.0
348, 5.64, soup/ broth, soup/ broth, 0.0, 252.0
349, 5.66, bean, bean, 0.0, 207.0
350, 3.663, whale, whale, 0.0, 138.0
351, 8.54, root, root, 0.0, 255.0
352, 12.83, sphere/ ball, sphere/ ball, 0.0, 251.0
353, 8.212, furrow, furrow, 0.0, 175.0
354, 20.11, fight (vb), fight (vb), 0.0, 311.0
355, 20.13, war/ battle, war/ battle, 0.0, 276.0
356, 20.14, peace, peace, 0.0, 206.0
357, 20.15, army, army, 0.0, 202.0
358, 20.17, soldier, soldier, 0.0, 211.0
359, 3.32, boar, boar, 0.0, 210.0
360, 4.392, wing, wing, 1.0, 236.0
361, 9.35, pour, pour, 0.0, 285.0
362, 12.33, top, top, 0.0, 293.0
363, 10.78, yoke, yoke, 0.0, 150.0
364, 12.31, high, high, 0.0, 270.0
365, 1.44, stone/ rock, stone/ rock, 0.0, 375.0
366, 12.37, middle/ center, middle/ center, 0.0, 297.0
367, 12.36, side, side, 0.0, 306.0
368, 12.35, end, end, 0.0, 269.0
369, 4.312, armpit, armpit, 1.0, 239.0
370, 10.71, road, road, 0.0, 261.0
371, 10.72, path, path, 0.0, 268.0
372, 10.75, carriage/ wagon/ cart, carriage/ wagon/ cart, 0.0, 227.0
373, 10.74, bridge, bridge, 0.0, 202.0
374, 10.77, axle, axle, 0.0, 148.0
375, 10.76, wheel, wheel, 0.0, 200.0
376, 8.73, tree trunk, tree trunk, 0.0, 236.0
377, 13.15, much/ many, much/ many, 0.0, 352.0
378, 8.75, bark, bark, 0.0, 275.0
379, 8.74, forked branch, forked branch, 0.0, 182.0
380, 13.102, twelve, twelve, 0.0, 180.0
381, 8.76, sap, sap, 0.0, 238.0
